Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,0,180,7,Some Random Commen with Id 0
1,1,0,50,2,Some Random Commen with Id 1
2,1,0,130,2,Some Random Commen with Id 2
3,1,0,182,3,Some Random Commen with Id 3
4,1,0,170,8,Some Random Commen with Id 4
5,1,0,40,7,Some Random Commen with Id 5
6,1,0,188,2,Some Random Commen with Id 6
7,1,0,38,5,Some Random Commen with Id 7
8,1,0,129,9,Some Random Commen with Id 8
9,2,0,171,4,Some Random Commen with Id 9
10,2,0,20,6,Some Random Commen with Id 10
11,2,0,33,4,Some Random Commen with Id 11
12,3,9,95,6,Some Random Commen with Id 12
13,3,9,102,3,Some Random Commen with Id 13
14,3,9,32,5,Some Random Commen with Id 14
15,4,9,57,1,Some Random Commen with Id 15
16,5,0,28,6,Some Random Commen with Id 16
17,5,0,41,9,Some Random Commen with Id 17
18,6,9,109,5,Some Random Commen with Id 18
19,6,9,109,7,Some Random Commen with Id 19
20,6,9,14,8,Some Random Commen with Id 20
21,6,9,96,7,Some Random Commen with Id 21
22,7,1,157,6,Some Random Commen with Id 22
23,7,1,150,7,Some Random Commen with Id 23
24,7,1,2,2,Some Random Commen with Id 24
25,8,6,73,6,Some Random Commen with Id 25
26,8,6,158,1,Some Random Commen with Id 26
27,8,6,35,9,Some Random Commen with Id 27
28,8,6,67,6,Some Random Commen with Id 28
29,8,6,95,6,Some Random Commen with Id 29
30,8,6,198,6,Some Random Commen with Id 30
31,8,6,86,6,Some Random Commen with Id 31
32,8,6,122,3,Some Random Commen with Id 32
33,9,3,61,3,Some Random Commen with Id 33
34,9,3,26,4,Some Random Commen with Id 34
35,9,3,21,4,Some Random Commen with Id 35
36,9,3,51,2,Some Random Commen with Id 36
37,9,3,159,4,Some Random Commen with Id 37
38,11,0,97,0,Some Random Commen with Id 38
39,11,0,9,3,Some Random Commen with Id 39
40,12,2,121,7,Some Random Commen with Id 40
41,12,2,29,5,Some Random Commen with Id 41
42,12,2,177,1,Some Random Commen with Id 42
43,12,2,114,5,Some Random Commen with Id 43
44,12,2,111,3,Some Random Commen with Id 44
45,12,2,137,9,Some Random Commen with Id 45
46,12,2,120,5,Some Random Commen with Id 46
47,12,2,172,7,Some Random Commen with Id 47
48,13,1,87,0,Some Random Commen with Id 48
49,13,1,161,3,Some Random Commen with Id 49
50,13,1,54,1,Some Random Commen with Id 50
51,13,1,170,5,Some Random Commen with Id 51
52,13,1,28,5,Some Random Commen with Id 52
53,13,1,57,9,Some Random Commen with Id 53
54,13,1,99,4,Some Random Commen with Id 54
55,13,1,80,3,Some Random Commen with Id 55
56,13,1,196,4,Some Random Commen with Id 56
57,14,9,140,1,Some Random Commen with Id 57
58,14,9,146,5,Some Random Commen with Id 58
